"text"
"Soru: Bilgisayar Bilimlerine Giriş dersi nedir? Cevap: Bilgisayar Bilimlerine Giriş dersi, algoritma mantığının temellerini akış diyagramları aracılığıyla öğreten bir derstir."
"Soru: Hocaların Algoritma Analizi dersi hakkındaki tutumu nasıldır? Cevap: Hocalar, bu dersi bilmeyen birinin mezun olmaması gerektiğini düşünürler ve dersi dünyanın en önemli işiymiş gibi önemserler."
"Soru: Alt Seviye Programlama dersinin amacı nedir? Cevap: Dersin amacı, alt seviye programlama kavramlarını ve tekniklerini öğretmektir."
"Soru: Alt Seviye Programlama dersinin iş hayatındaki yeri nedir? Cevap: İş hayatında çok az kişinin kullandığı belirtilmiş, bu nedenle dersin pratik uygulamaları sınırlı olabilir."
"Soru: Alt Seviye Programlama dersi neden gereksiz olarak değerlendirilmiştir? Cevap: Dersin iş hayatında az kullanılması ve pratik yararının düşük olması nedeniyle gereksiz olarak değerlendirilmiştir."
"Soru: Bilgisayar Donanımı dersinin zorluk seviyesi nasıldır? Cevap: Ders gereksiz derecede zor olarak değerlendirilmiştir."
"Soru: Bilgisayar Donanımı dersinin iş hayatındaki yararı nedir? Cevap: Dersin iş hayatında yararlı olmadığı düşünülmektedir."
"Soru: Bilgisayar Donanımı dersi neden bu kadar zor olmamalıdır? Cevap: Dersin iş hayatında yararlı olmadığı düşünüldüğü için bu kadar zor olmaması gerektiği belirtilmiştir."
"Soru: Bilgisayar Mühendisleri için Sinyaller ve Sistemler dersi önemli mi? Cevap: Evet, önemli bir derstir."
"Soru: Bilgisayar Mühendisleri için Sinyaller ve Sistemler dersine yeterince önem veriliyor mu? Cevap: Hayır, genellikle yeterince önem verilmediği düşünülüyor."
"Soru: Bilgisayar Mühendisleri için Sinyaller ve Sistemler dersinin konuları nelerdir? Cevap: Ders, sinyal işleme ve sistem analizi gibi konuları içerir."
"Soru: Doğal Dil İşlemeye Giriş dersinin zorluk seviyesi nedir? Cevap: Ders, büyük çoğunluğun yardımlaşmayla geçtiği basit bir derstir."
"Soru: Doğal Dil İşlemeye Giriş dersinde öğrenciler nasıl başarılı oluyorlar? Cevap: Öğrenciler, birbirleriyle yardımlaşarak bu dersi başarıyla geçebiliyorlar."
"Soru: Mikroişlemci Sistemleri ve Assembly Dili dersinin içeriği nedir? Cevap: Derste ilk 7 hafta alt seviye programlama, ikinci 7 hafta mikro işlemciler anlatılıyor."
"Soru: Mikroişlemci Sistemleri ve Assembly Dili dersinin zorluk seviyesi nedir? Cevap: Eskiden alt seviye ve mikro işlemci konuları iki ayrı zor dersti, şimdi ise bu iki konu tek bir derste birleştirilmiş durumda."
"Soru: Mikroişlemci Sistemleri ve Assembly Dili dersi nasıl bir yapıya sahiptir? Cevap: Ders, ilk yarısında alt seviye programlama, ikinci yarısında ise mikro işlemcileri kapsayan iki bölümden oluşmaktadır."
"Soru: Çok Disiplinli Tasarım Projesi dersinin içeriği nasıldır? Cevap: Ders, genellikle içeriği olmayan, bomboş bir ders olarak değerlendirilmektedir."
"Soru: Hocalar, Çok Disiplinli Tasarım Projesi dersinin içeriğini nasıl savunuyorlar? Cevap: Dersin içeriğini savunurken genellikle MÜDEK akreditasyonunu bahane olarak gösterirler."
"Soru: Çok Disiplinli Tasarım Projesi dersinin akıbeti ne olmalıdır? Cevap: Öğrencilerin görüşüne göre, dersin içeriğinin yetersizliği nedeniyle kapatılması gerekmektedir."
"Soru: Lojik Devreler dersinin başarılı geçilmesi için ne yapılmalıdır? Cevap: Dersi dikkatlice dinlemek ve çıkmış soruları çözmek yeterlidir."
"Soru: Lojik Devreler dersinde hoca seçimi önemli midir? Cevap: Hayır, ders HOİ veya GB gibi farklı hocalar tarafından verilse de hoca fark etmez."
"Soru: Lojik Devreler dersinde ekstra bir çalışma yapılması gerekiyor mu? Cevap: Hayır, dersin ekstra bir çalışma gerektirecek bir yönü yoktur."
"Soru: Lojik Devreler dersinde başarılı olmak için ne yapmak gerekir? Cevap: Dersi dikkatle dinlemek ve çıkmış soruları çözmek yeterlidir, ekstra bir şeye gerek yoktur."
"Soru: Lojik Devreler dersinin hocası önemli midir? Cevap: Hoca fark etmez, önemli olan dersi dinlemek ve çıkmış soruları çözmektir."
"Soru: Ayrık Matematik dersinin zorluk seviyesi nedir? Cevap: Ders genellikle kolaydır, ancak Banu hocadan alınıyorsa işlem hatalarına çok dikkat etmek gerekir."
"Soru: Ayrık Matematik dersinde başarılı olmak için neye dikkat etmek gerekir? Cevap: Banu hocadan alınıyorsa, işlem hatalarına dikkat etmek önemlidir, çünkü başta yapılan bir hata tüm soruyu etkileyebilir."
"Soru: Algoritma Analizi dersinin bilim için önemi nedir? Cevap: Ders, bilim için çok önemli bir ders olarak kabul edilmektedir."
"Soru: Algoritma Analizi dersinin hocalarının öğretim yaklaşımı nasıldır? Cevap: Dersin hocaları, öğretmekten ziyade gereksiz sayıda küçük etkili ödevlerle dersi sıkıcı hale getiriyorlar."
"Soru: Algoritma Analizi dersinde sınavlardaki kod sorularının etkisi nedir? Cevap: Kod soruları sınavda büyük bir ağırlığa sahip olup, sınıfın yarısının dersten kalmasına neden olabiliyor."
"Soru: Algoritma Analizi dersinin hocaları öğrencilerden geri bildirim istiyor mu? Cevap: Evet, her dönem sonu öğrencilerden derslerle alakalı geri bildirim isteniyor."
"Soru: Algoritma Analizi dersinde öğrencilerin geri bildirimlerinin etkisi nedir? Cevap: Maalesef, öğrencilerin geri bildirimlerine rağmen dersin içeriği ve yaklaşımı seneye değişmeden devam ediyor."
"Soru: Algoritma Analizi dersinin bilim için önemi nedir? Cevap: Ders, bilim için çok önemli bir ders olarak değerlendirilmektedir."
"Soru: Algoritma Analizi dersindeki ödevlerin etkisi nasıldır? Cevap: Dersin hocaları, gereksiz sayıda ve komik etkisi olan ödevlerle dersi sıkıcı hale getiriyor."
"Soru: Algoritma Analizi dersinin sınavlarında kod sorusu neden önemlidir? Cevap: Kod sorusu sınavın büyük bir kısmını oluşturuyor (60 puan) ve bu, sınıfın yarısının dersten kalmasına neden oluyor."
"Soru: Algoritma Analizi dersindeki geri bildirimlerin etkisi nedir? Cevap: Her dönem sonu geri bildirim istenmesine rağmen, seneye hiçbir şey değişmeden devam ediliyor."
"Soru: Mikroişlemci Sistemleri dersinin zorluk seviyesi nedir? Cevap: Ders, bölümün açık ara en zor dersi olarak değerlendirilmektedir."
"Soru: Mikroişlemci Sistemleri dersinde başarılı olmak için ne yapmak gerekir? Cevap: Tüm derslere girilmesi ve özellikle Mikro konularının kaçırılmaması gerekiyor, çünkü koptuğunuz an toparlaması çok zor."
"Soru: Mikroişlemci Sistemleri dersinde lab ve ödevlerin önemi nedir? Cevap: Lab ve ödevlerden puan almak çok önemli, çünkü sınavların ortalaması düşük oluyor (20-30 gibi)."
"Soru: Mikroişlemci Sistemleri dersinin öğrencilere hissettirdiği nedir? Cevap: Ders zor ama kaliteli ve öğretici olduğu için öğrencilere mühendis olduklarını hissettiriyor."
"Soru: Yapay Zeka dersinden beklentiler nasıl olmalıdır? Cevap: Çok büyük beklentilere girmemek gerekiyor, ancak ders güzel ve öğretici."
"Soru: Yapay Zeka dersinde ne öğrenilir? Cevap: Ders, temel mantığa aşinalık kazandırıyor ve ödevleri öğretici nitelikte."
"Soru: Yapay Zeka dersini kim iyi anlatıyor? Cevap: MFA, Yapay Zeka dersini iyi anlatıyor."
"Soru: Bilgisayar Projesi dersinde grup arkadaşı seçiminin önemi nedir? Cevap: Grup arkadaşı faktörü çok önemli; diğer derslerin yükü göz önünde bulundurularak projeye gerekli vakti ayırabilecek birini seçmek gerekiyor."
"Soru: Bilgisayar Projesi dersinde hoca seçimi nasıl yapılmalıdır? Cevap: Hoca seçimi de önemli; hocaların ilgi ve alaka düzeyleri farklı olduğu için üst dönemlerle iletişime geçip bilgi almak tavsiye edilir."
"Soru: Bilgisayar Projesi raporunun hazırlanmasında nelere dikkat edilmelidir? Cevap: Duyurulardaki yönlendirmeler ve rapor yönergesindeki (Latex şablonunda yer alan) yönlendirmeler dikkate alınmalıdır. Raporun kapsamı çok önemli değil, ancak başlıklara doğru şekilde değinilmiş olması ve birkaç diyagram eklenmesi raporu daha iyi gösterebilir."
"Soru: Bilgisayar Projesi raporunda Turnitin AI tespitini nasıl bypass edebiliriz? Cevap: ChatGPT çıktılarını değiştirerek, paraphrase ederek, Quillbot ve translate yardımıyla AI detection'ı bypass edebilirsiniz."
"Soru: Çok Disiplinli Tasarım Projesi dersinin özellikleri nelerdir? Cevap: Ders, gereksiz, uğraştırıcı ve 1 kredi olarak değerlendirilmektedir."
"Soru: İstatistiksel Veri Analizi dersi İstatistik Ve Olasılık Hesapları dersine göre nasıl bir ders? Cevap: İstatistiksel Veri Analizi dersi, İstatistik Ve Olasılık Hesapları dersinin daha sıkıcı hali olarak değerlendirilmektedir."
"Soru: İstatistiksel Veri Analizi dersinin zorluk seviyesi nedir? Cevap: Ders, hocası olan basit bir ders olarak değerlendirilmekte ancak uğraştırıcı bulunmaktadır."
"Soru: Ayrık Matematik dersinin zorluk seviyesi nedir? Cevap: Ders aslında çok basit, çünkü işlenen birçok şeyi önceden zaten biliyorsunuz."
"Soru: Ayrık Matematik sınavlarının özellikleri nelerdir? Cevap: Sınavlarında acayip bir şekilde kasılıyor ve her şeyden puan kırılıyor."
"Soru: Bilgisayar Bilimlerine Giriş dersinin işleyişi nasıldır? Cevap: Ders işleyişi, flowchart hariç, genellikle zevkli bulunmaktadır."
"Soru: Bilgisayar Bilimlerine Giriş dersinin sınavlarında nasıl bir durum yaşanıyor? Cevap: Sınavlarında öğrenciler boncuk boncuk terliyorlar."
"Soru: Bilgisayar Bilimlerine Giriş dersinden AA almak nasıl bir durum? Cevap: AA geçmek gerçekten takdir edilesi bir başarı olarak görülüyor."
"Soru: Bilgisayar Mühendisleri İçin Diferansiyel Denklemler dersinin ilk 8 haftasının içeriği nedir? Cevap: İlk 8 hafta, diferansiyel denklemlerle alakası olmayan, yapay zeka temellerine odaklanır ve aşırı zordur."
"Soru: Bilgisayar Mühendisleri İçin Diferansiyel Denklemler dersinin zorluk seviyesi nasıldır? Cevap: Dersin ilk yarısı özellikle zor bulunurken, 8. haftadan sonrası daha kolaydır."
"Soru: Bilgisayar Mühendisleri İçin Diferansiyel Denklemler dersini anlamak için ne gerekir? Cevap: Dersi anlamak için önceden alanla ilgili bilgi sahibi olmak önemlidir, aksi takdirde dersleri sadece izlemekle sınırlı kalınabilir."
"Soru: İstatistik ve Olasılık Hesapları dersinin genel yorumu nedir? Cevap: Ders, en zevksiz, en kasıntı ve en iğrenç derslerden biri olarak değerlendirilir."
"Soru: İstatistik ve Olasılık Hesapları dersinin sınavları nasıldır? Cevap: Sınavlar şıklı oluyor ve zor olur, rahat 2-3 hatalı soru çıkabilir."
"Soru: İstatistik ve Olasılık Hesapları dersini geçmek ne anlama gelir? Cevap: Bu dersi geçmek, bir rahatlama ve şükretme nedeni olarak görülür, ardından dönüp bakılmaz."
"Soru: İş Sağlığı ve Güvenliği 1 dersinin önemi nedir? Cevap: Kod yazarken başa şantiyeden beton parçası düşme riski olduğu için çok önemli bir ders olarak görülüyor."
"Soru: İnsanlar neden İş Sağlığı ve Güvenliği 1 dersinden yakınıyor? Cevap: Dersin önemi açık olmasına rağmen, bazı öğrenciler neden yakındıkları konusunda net değil."
"Soru: Lojik Devreler dersinin ilgi çekici olup olmadığı nasıl değişir? Cevap: Ders başta donanım dersi olduğu için pek ilgi çekici gelmeyebilir, ancak işlendikçe sevilmeye başlanır ve çok zor da değildir."
"Soru: Lojik Devreler dersinin sonuçları nelerdir? Cevap: Ders, sonuçta insanı geliştiren ve verimli bir ders olarak değerlendirilir."
"Soru: Mühendisler için Yarıiletken Fiziği dersinin sınavında ne olur? Cevap: Sınavda formül kağıdı verilir, ancak eğer çalışılmazsa sadece kağıtla bakışılır."
"Soru: Mühendisler için Yarıiletken Fiziği dersinin zorluk seviyesi nedir? Cevap: Ders, çok zor ve karışık olarak değerlendirilir ve sonuçta geliştirici olsa da dönem boyunca çok yorucudur."
"Soru: İş Sağlığı ve Güvenliği 1 dersinin önemi nedir? Cevap: Kod yazarken başa şantiyeden beton parçası düşme riski olduğu için çok önemli bir ders olarak görülüyor."
"Soru: Lojik Devreler dersinin ilgi çekiciliği nasıldır? Cevap: Başta pek ilgi çekici gelmeyebilir, ancak işlendikçe sevilmeye başlanır ve çok zor bir ders değildir."
"Soru: Lojik Devreler dersinin faydası nedir? Cevap: Ders, insanı geliştirici ve verimli bir ders olarak değerlendirilir."
"Soru: Mühendisler için Yarıiletken Fiziği dersinin zorluk seviyesi nedir? Cevap: Çok zor ve karışık bir ders olarak görülür, ancak sonuçta geliştirici bir ders olduğu düşünülür."
"Soru: Mühendisler için Yarıiletken Fiziği dersinde sınavlar nasıldır? Cevap: Sınavda formül kağıdı verilir, ancak eğer çalışılmazsa sadece kağıtla bakışılır."
"Soru: Sayısal Analiz dersinin önemi nedir? Cevap: En basit ama en gerekli derslerden biri olarak görülür, insanın ufku açılır ve algoritma anlamında da gelişim sağlar."
"Soru: Sayısal Analiz dersinde ne yapılır? Cevap: Verilen projeyle birlikte algoritma anlamında kendinizi geliştirirsiniz, bu dersi sevmek ve sevdirmek önemlidir."
"Soru: Nesneye Yönelik Programlama dersinin önemi nedir? Cevap: Bölümün en kritik derslerinden biridir, alınan verim hocaya göre değişir."
"Soru: Nesneye Yönelik Programlama dersinde ne yapılmalıdır? Cevap: Dersi alırken bölümle yetinmemek, kendinizi ek olarak da geliştirmek önemlidir."
"Soru: Yapısal Programlama dersinin içeriği nedir? Cevap: Müfredat olarak önemli konuları içerir ve klasik C yazılım dersi olarak değerlendirilir."
"Soru: Yapısal Programlama dersinin sınavları nasıldır? Cevap: Sınavları genellikle zor olur."
"Soru: Biyoenformatiğe Giriş dersinde ne öğrenilir? Cevap: Dersin içeriği konusunda olumsuz yorumlar var, bir şey öğrenilmeyeceği düşünülüyor."
"Soru: Biyoenformatiğe Giriş dersini kimler almalıdır? Cevap: Bu alanda çalışacak olanlar dışında alınması tavsiye edilmiyor."
"Soru: Veri Tabanı Sistemlerinde Güncel Konular dersinin içeriği nasıldır? Cevap: Ders gerçekten güncel konuları içeriyor, ancak anlatılan konularda önemsiz yerlere odaklanıldığı düşünülüyor."
"Soru: Veri Tabanı Sistemlerinde Güncel Konular dersinin hocası nasıldır? Cevap: Hoca derslere hazırlanarak geliyor, ancak anlatış tarzından memnun kalınmamış."
"Soru: Fizik 1 dersinin içeriği nasıldır? Cevap: YKS fizik konularının biraz daha ileri seviyesini kapsar ve çoğu soru pratik ve işlem gerektirir."
"Soru: Fizik 1 dersinden nasıl başarılı olunur? Cevap: Fizik seviyorsanız, pratikler ve çıkmış sorularla rahatça geçebileceğiniz bir ders. Son gün çıkmışlarla halledilecek bir ezber değildir."
"Soru: Göksel Biricik'in ders anlatım tarzı nasıldır? Cevap: Dersi eğlenceli anlatmaya çalışır ve öğrencileri bırakmamaya çalışır."
"Soru: Göksel Biricik'in ders disiplini nasıldır? Cevap: Yoklamaya çok takmaz ve geç girenlere laf söylemez."
"Soru: Erkan Uslu'nun bilgi düzeyi ve ders anlatımı nasıldır? Cevap: Çok bilgilidir, iyi anlatmaya çalışır ve derse karşı sorumludur."
"Soru: Erkan Uslu'nun ödev, ders ve sınav yaklaşımı nasıldır? Cevap: Ödevleri, dersleri ve sınavları genelde zorlayıcıdır. Bölümün en kaliteli hocalarından biri olarak görülür."
"Soru: Banu Diri'nin ders anlatımına yaklaşımı nasıldır? Cevap: İşin mantığını anlatma derdinde olup, konunun nasıl bu aşamaya kadar geldiğini, problemin kaynağını ve çözüm metodolojilerini kavramanızı ister ve çok güzel anlatır."
"Soru: Banu Diri'nin sınav yaklaşımı nasıldır? Cevap: Özellikle üzerinde durduğu ve kavramanızı istediği konuyu sınavda sorar."
"Soru: Mehmet Fatih Amasyalı'nın ders anlatım tarzı nasıldır? Cevap: Algoritma ve Yapay Zeka konularını çok iyi kavratıyor, bir problemi en optimum şekilde nasıl çözeceğinizi aşama aşama öğretiyor."
"Soru: Mehmet Fatih Amasyalı'nın sınavları nasıldır? Cevap: Sınavları, dersin zorluk derecesine uygun şekilde zordur."
"Soru: Göksel Biricik'in dersleri nasıldır? Cevap: Dersleri eğlenceli, konuları basitçe anlatıp geçer ve öğrenciyle muhabbeti sever."
"Soru: Göksel Biricik'in öğrencilere verdiği bilgi düzeyi nasıldır? Cevap: Aynı dersi veren diğer hocalara göre biraz daha az öğrenebilirsiniz ama yeterli bilgiyi alırsınız."
"Soru: Gökhan Bilgin'in derslerine nasıl yaklaşılmalıdır? Cevap: Derslerine gecikmeyin, soru sormaktan çekinmeyin. Derste anlatılanlar sınavda çıkar, fazlasını bilmeye gerek yoktur."
"Soru: Gökhan Bilgin'in derslerinde nasıl başarılı olunur? Cevap: Bu hocanın derslerinde geçmiş yılların sorularını bulup çalışan öğrenciler başarılı olur."
"Soru: Erkan Uslu'nun ders anlatım tarzı nasıldır? Cevap: Çok hızlı konuşur ve cümlelerini dikkatli kurar. Konusunda çok bilgilidir ve kafada soru işareti bırakmaz."
"Soru: Erkan Uslu'nun sınavları nasıldır? Cevap: Sınavlarında zeka ölçer sorular sorar, yani sadece konuyu anlamak yetmez, pratik düşünme de gereklidir."
"Soru: Yunus Emre Selçuk'un ders anlatımı nasıldır? Cevap: Alanında çok bilgilidir, ancak muhtemelen ailevi problemlerinden dolayı derse ilgisi düşük olabilir."
"Soru: Yunus Emre Selçuk'un öğrencilere etkisi nasıldır? Cevap: Tatlı bir hoca olmasına rağmen, ilgisizliği öğrenciyi olumsuz etkileyebilir. Kendini geliştirmek isteyenler için değil, sadece dersi geçmek isteyenler için uygun olabilir."
"Soru: Mehmet Amaç Güvensan'ın ders anlatımı nasıldır? Cevap: Bilgisayar Bilimlerine Giriş ve Algoritma derslerini çok iyi anlatır, ancak anlattığını kavrandığını düşünerek aynı soruyu tekrar sorduğunda cevap bekler."
"Soru: Mehmet Amaç Güvensan'ın öğrencilere yaklaşımı nasıldır? Cevap: Öğrenciye üst perdeden yaklaşabilir ve egonuz ezilebilir, dikkatli olmak gerekir."
"Soru: Ahmet Elbir'in ders anlatımı nasıldır? Cevap: Dersi çok iyi anlatır, öğrencilere her konuda yardımcı olur ve sınavları hızlı okur."
"Soru: Ahmet Elbir'in bölüme katkısı nedir? Cevap: Bölümün müfredatının güncellenmesinde büyük çabası olmuş ve bunun sonucunda müfredat çok daha iyi hale gelmiştir."
"Soru: Ahmet Elbir'in öğrencilere tavsiyesi nedir? Cevap: Mümkün olduğunca çok dersi kendisinden alınması tavsiye edilir."
"Soru: Banu Diri'nin kişilik özellikleri nasıldır? Cevap: Düşünceli, anlayışlı ve iyi niyetlidir."
"Soru: Banu Diri'nin bölüme etkisi nedir? Cevap: Bölümü sevdiren hocalardan birisidir."
"Soru: Mine Elif Karslıgil'in kişilik özellikleri nasıldır? Cevap: İyi bir insan olabilir."
"Soru: Mine Elif Karslıgil'den ders almak nasıldır? Cevap: Elif hocadan ders almamayı tercih ederim şeklinde bir görüş bulunmaktadır."
