Tweet;Etiket
Ben niye böyle birşeye sinirlendim lan.;kızgın
Öğrencilerime test çözdürürken hata yaptıklarında Aynur hocam gibi deliriyorum ;kızgın
Nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi ;kızgın
Her şey bomboş ve çok saçma bugün çok öfkeliyim..;kızgın
Neden kimse Bayern Madrid çıkamazmış gibi davranıyor delireceğim ;kızgın
Bazı insanlar doğarken mi yoksa sonradan mı gerizekalı oluyor bilemiyorum, iyice bir araştırmak lazım.;kızgın
Ben fake değilim diye bas bas bağıracağım şimdi;kızgın
ya derse yine gidemedim delireceğim ya;kızgın
Yaşadığım sürece negredoya küfür edeceğim;kızgın
Susarak asil olmak bana göre değil illa küfür edeceğim;kızgın
Konserden sonra hepinize küfür edeceğim nefret yorumları yapanlar. Ama şuan Jong dinlemem lazım.;kızgın
hay sikeyim seni gibi yorumcuyu bir de buna para veriyorlar ya sinir oluyorum lan ;kızgın
şu ıslıklayanları küfür edenleri görevliler yaka paça dışarı atsın artık ;kızgın
Hocam insan hiçbir şey bilmese haddini bilmelidir bilmeyenler beni sinirlendiriyor ;kızgın
Okula neden makyaj yapıp geliyosunuz kardeşim mal mısınız;kızgın
ilk defa birisinden bu kadar çok nefret ediyorum ;kızgın
eğitim sistemi cidden berbat saçma sapan gerizekalı bir sistem ;kızgın
bağıracağım şimdi o sen olsan bari diye;kızgın
Tespihimi kaybettim bulamıyorum 2 saattir delireceğim;kızgın
4 saattir uyumaya çalışıyorum ama tık yok imdat diye bağıracağım şimdi;kızgın
Lan kadın jungkooka yürümemiş koşmuş uçmuş bak sinirlendim;kızgın
özelden arıyorsunuz niye konuşmuyorsunuz amk mal mısınız;kızgın
Biri şu uykumu getirsin küfür edeceğim;kızgın
Sen gerizekalının tekisin anlatsam da anlayamazsın ;kızgın
Bazı insanlara kuş beyinli dediğim zaman kuşlara hakaret ettiğimi düşünüyorum. ;kızgın
Allah'ım yediğimiz gole bak çıldıracağım yeter artık;kızgın
Kadına şiddet nasıl bir zavallılık nasıl bir cahilliktir gerizekalılar ;kızgın
Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye;kızgın
Oğuzhan ağır küfür edeceğim çok az kaldı;kızgın
O kadar mutsuz o kadar korkağım ki kendime çok kızıyorum ;kızgın
kuzenime ödev yaptırıyorum birazdan çıldıracağım sanırım;kızgın
Ya koysana şu tolgayı yeter artık çıldıracağım kafayı yiyorum;kızgın
İnsanın yaşam enerjisini bir anda alıp götüren şeyler beni sinir ediyor ;kızgın
Kendimden nefret etmek için bir sebep daha buldum üzgün olduğumda ne yapacağım belli olmuyor ;kızgın
Ya artık birisi beni anlasın ya birisi ya yeter artık çıldıracağım;kızgın
Yeter artık bir karadenizliyle evlendirip dağlara salın beni çıldıracağım yeter;kızgın
Durduk yere gözüm kanlandı çıldıracağım nazar değdirmeyin yeter;kızgın
Büyük küfür edeceğim zor tutuyorum kendimi;kızgın
Saat 9 dan beri su yok çıldıracağım;kızgın
Gizem yokken hiçbir şey yapasım gelmiyor ya çıldıracağım;kızgın
Telefonumun ekranı tuzla buz oldu anlık kalp krizleri sinir krizlerini atlattım artık onlaynım ;kızgın
Bak küfür edeceğim az kaldı mal beyinliler;kızgın
Bize bu haksızlığı yapanların cehennemde yanacağına hiç şüphem yok ;kızgın
Vurun daha ölmedim diye bağıracağım şimdi;kızgın
Abi niye bu kadar yavaş ve az ve tutkusuzuz çıldıracağım;kızgın
Çantamda en esneyen terliğimle dışarı çıkıp doğru durmayan kim varsa ağzına ağzına vurmak istiyorum.;kızgın
Hoca bitir artık şu özeti bitir daha fazla bekleyemiyorum çıldıracağım;kızgın
Bundan sonra iddaa da 3-5 lira kaybedip yattı diye sövenlere sövüyorum;kızgın
Şu gezme kelimesini alışveriş yapmak olarak algılayan kızlara bir hayli sövüyorum;kızgın
Yağmasın saçımın fönü bozuluyor diyenlerin cidden ağzına vurmak istiyorum.;kızgın
Biz bu trabzona nasıl yenildik düşündükçe sövüyorum sövdükçe sövüyorum yok böyle birşey arkadaş ya;kızgın
Ülke gerizekalı dolu e hal böyle olunca artık bütün zekasızlar beni buluyor diye isyanda edemez olduk.;kızgın
Ne çok gerizekalı insan var bu sitede hepsi o kötü atlara binip defolup gitse keşke;kızgın
Ne mal insanlar var şu dünyada;kızgın
Kış mevsimi sevenleri kınıyorum, içerliyorum ve kış mevsimi sevenlere sövüyorum;kızgın
Kıza soru atıyorum yapamadım diye diyorki ne attın ona göre indiricem kızım mal mısın;kızgın
Çaresizliğin anasına bacısına sövüyorum bok kafalı çaresizlik;kızgın
Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye.;kızgın
Gerizekalı prim yaptığını anlamayacağımızı sanıyor;kızgın
Ben annemden boşuna mı yemek yapmayı öğrendim gerizekalı;kızgın
Sinirden delireceğim;kızgın
2 hafta olan devamsızlığımı sen nasıl 4 hafta girersin amk mal mısın ya;kızgın
 ;kızgın
Mal mısın lan sinirimi bozuyorsun;kızgın
bütün gün gerizekalı bir edebiyat ödevi için uğraştığıma inanamıyorum ya nefret ediyorum şu dersten nefret;kızgın
Beni ıslatan araba sahibine sövüyorum :/ ;kızgın
Elektrikler yok delireceğim şarjım olmuş %10;kızgın
Bir bok olduğunda gelip hemen burdan laf sokacağınıza git de doğru düzgün söyle mal mısın;kızgın
Telefonumun mikrofonu gene bozuldu, delireceğim... Kulaklık girişi de bozuk;kızgın
kim bu tweetine adını yazmayan gerizekalı gelsin alsın;kızgın
Beyin hücresini taneyle mi verdiler lan size bu kadar da olmaz lan nefret ediyorum sizden ;kızgın
görgüsüz insanları duvardan duvara vurmak istiyorum böyle nefret olamaz;kızgın
Lan iki yıldan fazla oldu her gün konuştuk nasıl gidiyorsun lan delireceğim taktik verseydin giderken;kızgın
Nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi ;kızgın
Sütyenim çok sıkıyor kafayı yiyeceğim şimdi;kızgın
Sabah kalktığımdan beri şunu arıyorum yok kafayı yiyeceğim heryeri alt üst ettim bir prize bakmamışım meğer ;kızgın
Evde on tane çocuk var kafayı yiyeceğim kafalarını duvara falan vuruyolar;kızgın
senin gibi bankanın da müşteri temsilcisinin de Allah belasını versin kudurdum sinirden bak;kızgın
Aynen kudurdum sinirden ama yazmam aramam sormam basıp git hadi;kızgın
Elektrikler gitti sıçıcam böyle işe resmen izlemiyim diye amk kudurdum sinirden ;kızgın
Şimdi burda bi küfür edeceğim 150 kişi takipten çıkacak o kadar doluyum;kızgın
Aşırı agresifim gelmeyin üstüme dedikce geliyorsunuz siz manyak mısınız;kızgın
Radyo dinlerken sinir küpü oldum;kızgın
Saçlarımızla değil de sinirlerimizle oynadığınız için ortalarda sinir küpü gibi geziyoruz;kızgın
Yemekteyiz inci bir patlıcanı kesemiyorsun yalandan sinir oldum;kızgın
Atom diye sokaklarda pervasızca bağırmak istiyorum şu anda ;kızgın
Öfkeliyim sana tüm yaptıklarına ve yapamadıklarına bu defa tamam diyorum bitti ama ben neden senin blanık fotoğrafını bile silemiyorum;kızgın
Hadiseye karşi bir öfkem var nedeni olmadan öfkelendiğim tek insan ya da 987654321. Falan emin değilim ama öfkeliyim;kızgın
Şu an içimden bağırmak geldi yeminle;kızgın
Ödemesini yapmayan müşterileri arayıp WHERE IS MY MONEY diye bağırmak istiyorum ;kızgın
Bu soğukta sümerparkta oturan çiftler gerizekalı yemin ederim;kızgın
Sen eşinin yanında bana niye bakıyorsun hadsiz diye bağırmak istemek;kızgın
Meclise bak esenler arka mahallesi gibi bizi yöneten kitleye bak yumruklar küfürler kavgalar yazıklar olsun hepinize ;kızgın
İptal edin tüm ligleri bu nedir ya dün birlik diye bağıran ağızlardan beddualar, küfürler çocuğundan çıksın nedir ya liginiz de batsın ;kızgın
Satır satır orul orul küfürler yazmak istiyorum şu an buraya.;kızgın
Kavgalar, gürültüler, sinir krizleri, geçirilen nöbetler, kırılan eşyalar, küfürler, hakaretler... . Saymakla bitmez.;kızgın
Aklıma geldiğinde küfürler ettiklerim napıyolar acaba yaşıyorlar mı;kızgın
Ziraat bankası senden nefret ediyorum eminim şekerbank senden daha güzel bir bankadır ;kızgın
Mesela ben niye kızdığımı açıklamaya çalışırken daha çok sinirleniyorum;kızgın
Sırf inat ve egonuz yüzünden bu küfürler ;kızgın
Beyin bedava iken, gerizekalı olmak ciddi bir yetenek işidir... ;kızgın
Çok güzel küfürler biliyorum ama kadına yakışmıyor diyorlar.;kızgın
Aniden kötü hislerin bastırmasından nefret ederim ;kızgın
soruyorum sana adımı neden çaldın gerizekalı;kızgın
Sinirliyken çok yaratıcı küfürler edebiliyorum müthiş bir olay.;kızgın
Yumurtanın sperme gittiği nerde görülmüş gerizekalı ben mi yazıcam.;kızgın
Özür dilenince daha çok sinirleniyorum değiştirmiyor bir şeyi anlasanıza özür dilenecek şeyler yapmayın en basiti;kızgın
Yeter diye bağıracağım şimdi;kızgın
Abi benim mor montum nerde çıldıracağım ya;kızgın
Saçma sapan ağa dizileri mafya dizileri uyduruk polisiyeleri alın da turşusunu kurun Dizimizi harcadınız;kızgın
Dünya üzerinde nefes alan her şeye sinir oluyorum şu an hayvanlar hariç;kızgın
kendi kendime konuşurken başkası araya girince sinirleniyorum;kızgın
Lütfen hayatımda ki herşey ve herkes net olsun, belirsizlikten nefret ediyorum. Düşünmekten kafayı yiyeceğim;kızgın
Yemek yedikten sonra, kürdanı ağzına atıp saatlerce o kürdanla gezen tiplerden nefret ediyorum.;kızgın
Abi ısınamıyorum uyuyamıyorum camı açıp bağıracağım şimdi;kızgın
Saçma sapan şeylerle oyalanıyoruz. Hiçbir şey gerçek değil. Biz de;kızgın
Annelerin her şeyi yemek yeme düzensizliğine bağlamalarına sinir oluyorum.;kızgın
Matematikte bu Mutlak Değer konusu mu zor yoksa ben mi malım. çıldıracağım.;kızgın
Ya buraya atılan videonun bozuk olmaması için ne yapmak gerekiyor bilen biri söyleyebilir mi kafayı yiyeceğim;kızgın
Attığım mesaja geç cevap veren insanlardan nefret ediyorum.;kızgın
Mesela ben niye kızdığımı açıklamaya çalışırken daha çok sinirleniyorum.;kızgın
Benimle ilgili yorum yapan saçma sapan insanlara hayatımı açıp baksana sen neresindesin diye göstermek istiyorum.;kızgın
Bana kısa cevap vermeyin çok sinir oluyorum ya;kızgın
samimi olmadığım biri ne yapıyorsun dediğinde istemsiz bir sinirleniyorum sanane lan ne yapıyorum;kızgın
Banko şampiyon olacağımız turnuvada sakatlık ve yedeğimiz yok diye diskalifiye olduk sinirden kafayı yiyeceğim;kızgın
Uzun süredir mesaj atmıyorsun çocuk sinirleniyorum;kızgın
Odadaki yeni kız beni sinir ediyor aslında şu an sadece uyuyor ama sinir oluyorum;kızgın
Askerliğimi bir tür tecil ettiremedim kafayı yiyeceğim sonunda gidicem askere;kızgın
Okuldan ciddi anlamda nefret ediyorum eskiden arkadaş var en azından derdim şimdi onlar da yok;kızgın
kendime sinir oluyorum bu aralar hep en olmaması gereken gereken neyse ben gidiyorum onu yapıyorum aptalım çünkü;kızgın
nefret ettiğim kişi sayısının fazlalığı beni de korkutmaya başladı resmen her şeye sinirlenip herkese sinir oluyorum;kızgın
Ya şu sevgililerin birbirine şifre verme olayına sinir oluyorum madem güvenmiyorsun ne diye sevgili sıfatın da;kızgın
Şu bölümü şurdan itibaren kesseydi kanal keşke vallahi sinir oluyorum daralıyorum;kızgın
birşey söyleyeceğim diyip 10 saat sonra yazanlara sinir oluyorum;kızgın
Oy beni vurun vurun nedir çektiğim zulüm diye bağıracağım şimdi;kızgın
sevdiğim insanlar yanımda değil ya çok sinir oluyorum;kızgın
Sabaha kadar küfür edeceğim okumak istemeyen takipten çıksın;kızgın
Verdiğim değere karşılık alamayınca değil, nankörlük edilince sinir oluyorum;kızgın
Hande'yi artık bi salın. Gerçekten çok feci sinirleniyorum. Küfür edeceğim etmiyorum. Beni sınamayın.;kızgın
En çok da bilim ile ilgili konuşulurken işin içine din sokmalarına sinir oluyorum;kızgın
Yolda yavaş yürüyen insanlara sinir oluyorum özellikle yolun ortasındalarsa;kızgın
Kardeşim kumandayı saklamış daha sonra çarşıya gitmişler 3 saattir çizgi filme bakıyoruz kafayı yiyeceğim;kızgın
birine sinirlenip tartışırken gözlerim dolup, yüzüm kızarıyor diye karşı tarafa güçsüz göründüğümü düşünüp tekrar sinirleniyorum;kızgın
Sürekli bir şeyleri sorguluyorum kafayı yiyeceğim;kızgın
Sinirleniyorum ama neye sinirlendiğimi ben de bilmiyorum karadenizli olmak gerçekten çok zor;kızgın
Sinirlendim bu kar ne zaman yağacak yağda oynayak lan;kızgın
ne olur dışarda tanımadığınız insanlarla senli benli konuşmayın kafayı yiyeceğim böyle ayılıklar görmek istemiyorum artık;kızgın
Kinci değilim ama Düşene vuranlara karşı düşürüp vurmak istiyorum;kızgın
Yanımda oturan kadın kendi kendine konuşuyor yemin ederim kafayı yiyeceğim;kızgın
Cidden evde kalmak bana iyi gelmiyor okulda hiç yoktan sinirimi ve nefretimi atabiliyorum evde iyice kafayı yiyeceğim;kızgın
Kasım ayında sivrisinek mi olur ya kafayı yiyeceğim artık;kızgın
Uzun zamandır en sinirli anımı yaşıyorum o kadar sinirliyim ki kafayı yiyeceğim şu an;kızgın
Bu gece birilerine salça olmazsam kafayı yiyeceğim habersiz gidenler sinirimi bozuyor;kızgın
Seni seven kalbim şu an senden nefret ediyor..;kızgın
Kimse sana güvenmiyor. Herkes senden nefret ediyor. Yeryüzündeki hastalıksın sen.;kızgın
Bence herkes maskelerini çıkartsın herkes birbirinden nefret ediyor SOYUNUN;kızgın
Karakter varya herkeste, Sanırım ben de var, Dolaylı anlatımlardan nefret ediyor ve kale almıyorum.;kızgın
Herkes birbirlerinden nefret ediyor ama herkes birbirleriyle samimi.;kızgın
Yok ben bu şehirden nefret ediyorum insanlar saygısız;kızgın
Seni gördüğümde sana inanmışlığım aklıma geldikçe kendimden nefret ediyorum.;kızgın
Sebepsiz yere arıyorum çalarken açarsa ne diyiyeceğim diye düşünüyorum açmayınca da sinirleniyorum;kızgın
Ben mi herşeye çok kolay sinirleniyorum yoksa gerçekten insanlar çok mu sinir bozucu;kızgın
Saçma sapan konuklarla sıkıcı program yapıyorsunuz ;kızgın
Abi saçma sapan cezalar veriliyor;kızgın
Netimi saçma sapan şeylere harcıyorum;kızgın
Evet sizi bırakıp Mobile legends oynayıp küfür edeceğim ama geri gelicem;kızgın
ya kızım bu ne özgüven şimdi küfür edeceğim sabrımı zorlama;kızgın
Birşeyi arıyor ve bulamıyorsam direk sinirleniyorum sizede oluyo mu bir bende mi var bu;kızgın
Sistemli bir şekilde attığımız goller ofsayt diye verilmiyor Her hafta %100 penaltımız verilmiyor Yeter artık defol git ;kızgın
Aslı şu an sana çok sinirliyim niye üzüyorsun adamı hem kendin yapışıp hem nasıl öyle konuşuyorsun;kızgın
çok sinirliyim şu an kırmızı lahananın rengi neden mor ya asla kabul etmiyorum böyle bir şeyi, onun rengi mor MOR;kızgın
Elit bir semtte oturmasam sokağa çıkıp bağıra bağıra küfür edeceğim sinirim bedenime sığmıyor..;kızgın
Bu saatte uyandırıldım ve sinirliyim.;kızgın
çok sinirliyim ama size değil belki de bir köpeğe bile olabilir;kızgın
biriyle tartıştığımı hayal ettim ve bu hayale kendimi biraz fazla kaptırdığım için sinirliyim şu an;kızgın
Vize haftasına girdim şu an dağa taşa havadaki oksijene her şeye sinirliyim;kızgın
En yakın arkadaşlarımı başkalarıyla paylaşmaya hiçbir şekilde dayanamam.Akşam akşam aşırı sinirliyim yine ;kızgın
Lan günün 16 saati sinirliyim kalan 8 saatte de uyuyorum zaten;kızgın
Bana beni geri ver defolup git nereye gidiyorsan git;kızgın
İstediğin insanla mutlu ol, o yüzün hep gülsün ama lütfen artık defolup git şu aklımdan;kızgın
Her şeyin rahatsız ediyor beni nolur defolup git artık nereye gidiyorsan;kızgın
Madem durmak istemiyorsun hiç durmadan defolup git bu ülkeden mesela;kızgın
Hastalık bir defol git başımdan;kızgın
Biri bana defol git ders çalış yoksa kalacaksın diyebilir mi;kızgın
Emeğe saygı göstermek bu kadar zor olmamalı! Paylaşmayın, izle filmini defol git!!;kızgın
Zihniyetini ayakta alkışlıyorum ego ne alaka kardeş sinir oluyorum boş insanları takip ediyorum diye.;kızgın
Çalışma saatlerimi bilmediğiniz veya karıştırdığınız zaman acayip sinir oluyorum.;kızgın
"Birşey anlatırken ""ben demiştim ama"" diyip duranlara sinir oluyorum. Ama aynı şey karşı tarafa olsa hiç çekinmem söylerim.";kızgın
Ya ben her şeye sinirleniyorum ya da her şey beni sinirlendirmek için var.;kızgın
Şu 'Kore dizisi ne ya' diyen insanlara sinir oluyorum Türk dizisi, hint dizisi nasıl oluyorsa Kore dizisi de öyle oluyor neden anlamak istemiyorsun;kızgın
Benden not isteyenlere sinir oluyorum yüzlerine söylemesemde;kızgın
Sinir oluyorum kendime. Yine kötü olan herşeyi unuttum. ;kızgın
Yanaklarımı sıkan insanlara sinir oluyorum;kızgın
"Korece müziğe karşı herkes o kadar önyargılı ki, sinir oluyorum. Müzikte önemli olan dil değil; onun sana ne hissettirdiğidir, şunu bir anlatamadık... ";kızgın
çıldıracağım kafayı yiyeceğim;kızgın
1.5 seneye mezun olucam olana kadar her gün bu cübbenin içinde hangi renkler uyumlu gözükür diye düşünmekten kafayı yiyeceğim;kızgın
Hakaret ediyormuşum sinirinden geçilmiyor. Sen bana ne yaptın farkında mısın!;kızgın
2 gündür evdeyim kafayı yiyeceğim insanlar çalışmadan tüm gün napıyor acaba;kızgın
Anlaşılmıyor yazdıklarım anlaşılmıyor kafayı yiyeceğim;kızgın
sürekli sinirleniyorum artık akışına bıraktım neye sinirlendiğimi falan bilmiyorum;kızgın
Arabanın anahtarı annemde gitmiş Allah’ım kafayı yiyeceğim;kızgın
öğrenci kimliğimi kaybetmişim kafayı yiyeceğim bir ay uğraş şimdi;kızgın
Boncuk sabah 5'den beri çok kötü kafayı yiyeceğim;kızgın
Telefonuma birini isim soyisimle kaydetmem için sevmiyor veya nefret ediyor olmam lazım;kızgın
Ellerim soyuluyor dedi, deri değiştiriyorsun normaldir sizde dedim sanırım benden nefret ediyor;kızgın
vallahi delireceğim nereye düştük böyle amk ya;kızgın
Sakin kalmaya çalıştıkça günden güne artan öfkemden nefret ediyorum.;kızgın
Ben demiştim demekten nefret ediyorum ama dedirtiyorsun... ;kızgın
kız kimle yakın arkadaş olsa ona duygu besliyor Allah'ım delireceğim yareppim;kızgın
Abi koca gursuda kiralık daire yok kafayı yiyeceğim ya;kızgın
Hiçbir boku bitmiyor ya çıldıracağım;kızgın
Düşündükçe sinirleniyorum, sinirlendikçe düşünüyorum. Kısır döngü girdabındayım... ;kızgın
Uyurken burnum kanamış heryer kan olmuş, daha uyanırken sinir küpü uyandım ;kızgın
Tam kavga edeceğim sinirden çarpıntım tutuyor;kızgın
ben bu sinirle fazla yaşamam diyorum yaşadıkça daha çok sinirleniyorum;kızgın
Alışveriş yapıcam zaman yokki yapim ne sinir bozucu ya;kızgın
Sinirlenince gözlerimin dolmasından nefret ediyorum;kızgın
Aç ve sinirliyim kurban olayım beni 1 hafta kadar yok sayın;kızgın
Gecenin saat 3ü sen yüksek seale gazap mı dinliyorsun küfür edeceğim;kızgın
Of ağzımdaki uyuşukluk geçmedi hala delireceğim;kızgın
Telefonumun ekranı öyle bir çizildi ki kırılmış gibi duruyor bu nedenle sinirliyim;kızgın
Passolig ben cezayı Bozüyük vitraspordan aldım ya Beşiktaş bayern maçına girememek ne delireceğim;kızgın
Millet ne der' diye düşünenlerden nefret ediyorum ;kızgın
Her siren sesinde içimi sızlatan amblans seslerinden nefret ediyorum.;kızgın
Ekilmekten nefret ediyorum!!!;kızgın
Allah'ım etraf beyinsiz kaynıyor çıldıracağım ya;kızgın
Yaş henüz 20, kız evde kaldım diyor .. yok ben çıldıracağım artık, ne bu acele ?;kızgın
Yeter artık karşıma saçma sapan insanlar çıkmadan bitsin. Kabak tadı verdi hep aynı.;kızgın
salak mısın ya gerizekalı yemin ediyorum mal matematikten farkın yok;kızgın
Ela yokken hiçbir şey yapasım gelmiyor ya çıldıracağım;kızgın
Şu instastory izleyenler neye göre sıralanıyor ya yemin ederim çıldıracağım;kızgın
İstediğim ekleri bulamıyorum ya delireceğim;kızgın
Sınavdan sınava giriyorum kafayı yiyeceğim;kızgın
birinin kilosu ya da boyuyla dalga geçildiğini görünce bana küfür edilmiş kadar sinirleniyorum ;kızgın
Allah aşkına android için çevrimdışı müzik programı söyleyin kafayı yiyeceğim;kızgın
Gerizekali ben ne diyorum sen ne halt yapıyorsun delireceğim;kızgın
Şu PayPal’ı da ülkemizden kaldırdılar ya!!!!! O kadar öfkeliyim ki bu konuda!!! Geri getirin şunu yeter;kızgın
Karşımdakine ne kadar değer verirsem o kadar sinirleniyorum yaptığı yanlışlara;kızgın
Az önce sodayı açmaya çalışırken her yere döktüm sakar ve öfkeliyim şu an;kızgın
Pazar günlerinden nefret ediyorum;kızgın
Sol şeritte 90 lik yolda 50 sürüyor gerizekalı. Allah'ım sakin olamıyorum böylelerini görünce;kızgın
artık o kadar herşeye sinirleniyorum ki kendi saçımı başımı yolmamak için kendimi zor tutuyorum;kızgın
Alışveriş yapmam lazım çünkü sinirleniyorum.;kızgın
Beni sinirliyken eğlendirmeye çalışanlara daha çok sinirleniyorum.;kızgın
Çıkıp bağıra bağıra küfür edeceğim şimdi tutamıyorum artık kendimi;kızgın
Sinirleniyorum çünkü şu lanet üniversitede hiçbir karar mantıklı değil.;kızgın
Herşeye o kadar hızlı sinirleniyorum ki tahammül süremi çoktan aştık birtanem;kızgın
Benle alakası olamayan her şeye sinirleniyorum benle alakası olanlara zaten sinirleniyordum. Galiba menapoz;kızgın
Ya param yokken yapmayın şu indirimleri sinirleniyorum ;kızgın
Her şey bomboş ve çok saçma bugün çok öfkeliyim..;kızgın
Nasıl domuz eti yersin sen ya sinirden küplere bindim uyuyamıyorum !;kızgın
Kuş beyinli dicem kuşlara hakaret olur ama kuşların beyni var bunda o da yok amk ;kızgın
sürekli sinirleniyorum artık akışına bıraktım neye sinirlendiğimi falan bilmiyorum;kızgın
Of her şeye, herkese anlamsızca öfkeliyim;kızgın
Şu an çok sinirleniyorum her gebze haremi gördükçe, daha ne kadar akraba olma arabası geçecek?;kızgın
ben bir anda sinirleniyorum kendi kendime bunun sebebi ne;kızgın
Hayat hiç beklediğim gibi gitmiyor ve ben buna çok sinirleniyorum, doktor hanım.;kızgın
Uykumu almadığım zaman kendimi çok agresif hissediyorum.;kızgın
Bugün kendimi Türkmenistan ile Hazar Denizi'ndeki kıta sahanlığından dolayı problem yaşayan Rusya gibi agresif hissediyorum.;kızgın
çok agresif hissediyorum şu an yani bilmiyorum belki de çişim olduğundandır;kızgın
Esra Erolu çileden çıkartan şalvarli gelin adayı kadar agresif hissediyorum;kızgın
Ay bugün kendimi işe yaramaz uyuz agresif hissediyorum;kızgın
Ayran içtim. Daha az agresif hissediyorum.;kızgın
Fragmanın gelmediği her an daha da agresif hissediyorum bir şeyler oldu bana;kızgın
bir yandan uzunu izlediğim için agresif hissediyorum kendimi. birazdan umarsızca koşmaya çıkacağım sinirimi atmak için.;kızgın
Bu siteye uğradığım zamanlar çok gergin ve agresif hissediyorum;kızgın
o kadar gerizekalı ve agresif hissediyorum ki tam timeline boşken millete sallayayım diyorum ama ben iyi biriyim;kızgın
Çok sinirliyim bana bulaşanı hücrelerine kadar parçalıyabilirim;kızgın
cidden bugün o kadar sinirliyim ki alnıma SATAŞMAYIN yazcam;kızgın
Bu nasıl bir hadsizlik Tüm filmde resmen sinirden küplere bindim. İslamı da yerden yere vurdu;kızgın
Çok sinirliyim her an camdan atlayabilirim;kızgın
Çok fena iftira atıldı üstüme şu an çok sinirliyim;kızgın
Sarılmayı sadece fiziksel olarak algılayanlara çok kızgınım. ;kızgın
Agresif oldum. Olur olmadık herşeye sinirlenir oldum;kızgın
Yüzüme karşı söyleyemeyip buradan laf gönderenlere sinir oluyorum kolaysa yüzüme söyle ;kızgın
beni seninle muhattap eden hayatın vizyonsuzluğuna da baya bir kızgınım.;kızgın
Herkese sinir oluyorum bu aralar niye böyle. ;kızgın
Erzurumlu olmayan birine sinirlenince “çor, zıkkım, davun, gatıran” diyorum bir şey anlamıyor bu çok sinir bozucu :(;kızgın
Hala aramamış olman da çok sinir bozucu;kızgın
Zamanımı boşa harcadığım için kendime biraz kızgınım;kızgın
"Bilader bir kelime var ama nerde nasıl olursa olsun sinir bozucu. ""Peki""";kızgın
sinirliyim ve bu beni daha da çirkin yapıyor;kızgın
