soru,zorluk,cevap
"Bir grup Mustafa, Mert, Ali ve Abdullah'dan oluşmaktadır. Bu grupta kaç kişi vardır?",2,"""Grupta yer alan kişiler: ""Mustafa"" (Mert), ""Ali"" (Abdullah) ve ""Ahmet"" (Mehmet). Bu kişilerin isimleri:
    Mustafa: ___
   Ahmet:  _
        Mehmet: 
\[
    \text{Mert} - __*
    __**(*)
    Ali:  __
        __+
        Ahmet:
\] 
Bu durumda, gruptaki kişi sayısı:
     **5 + 5 = 7
     *6 = 8
     \frac{7}}
         \times 5 + 5 \times 6 = 10
      \approx 5 \box 7 = 9
     ~8 = 20
     ***Toplam: 7
\> Toplam: 30
|------------------------------|-----------------------------------|----------------------
|-------------|-----------------|-------|---------|----------|
|----"
Ali'nin babasının karısı Ali'nin neyi olur?,3,"""Ali'nin Babası"", bir erkek çocuktur ve annesinin babasıdır. Bu nedenle Ali'yi annesi büyütür (ancak Ali, anne tarafından değil baba tarafından yetiştirilir). Annesi, Ali'ye hem annelik hem de babalık yapar; Ali, onun en büyük destekçisidir. Ancak Ali, annesinden fiziksel olarak farklıdır çünkü o henüz bebekken annesini kaybetmiştir. Ayrıca Ali, ilk eğitimini anneannesi ile alır, ancak bu da fiziksel açıdan yetersiz kalır. Dolayısıyla Ali'yle ilgili temel bilgiler şöyle özetlenebilir:

1. Fiziksel Özellikler:
- Göğüs kafesinin genişliği (5–8 cm),
- Baş çevresi (25–35 cm), (boyuna göre daha kısa),

2. Sosyal Bilgiler:
Arkadaşlık bağları (akraba) ve paylaşma kültürü gelişmiştir (anne-baba dışında herkes birbirini tanır).

3. Din ve İnançlar:
İslam dini, Ali’nin manevi gelişimini destekler (örneğin Hz. Muhammed’in ahlakına uygun bir yaşam sürer"
Bakkalda hangi ürünler bulunur?,1,"""Bakkalda Hangi Ürünler Bulunur?"" sorusunun yanıtı, bakkalın türüne göre değişir. İşte temel bakkal ürünleri:

1. Gıda Ürünleri Satan Büfeler (Market, Manav)
Bu tür dükkanlarda genellikle sebze-meyve ve et gibi temel gıda ürünleri satılır. Ekmek, peynir gibi temel yiyecekler de bulunur. Ayrıca şarküteri ürünleri ve tatlı çeşitleri de bulunur; bu nedenle bu kategori, özellikle hafta sonları yoğun ilgi görür.
2. Bakliyat Ürünleri Satışı Yapan Büfe/Lokanta Çeşitleri
Bakliyat ürünlerinin satıldığı bu yerlerde genellikle kuru fasulye, mercimek, nohut gibi bakliyatlar yer alır. Etler, tavuklar, balık türleri ve çeşitli sebzeler de bu reyonda bulunabilir.
3. Organik Ürün Satışına Yönelik Mağazalar
Organik ürünlerin satıldığı bu mağazalarda ise organik gıdalar ve baharatlar da satılır. Özellikle organik kahvaltılık ürünler, meyveler ve tatlılar bu kategoride öne çıkar.
4. Yöresel Ürünlerin Satışa Sunulduğu Yerler
Özellikle köy peyniri, yöresel yemekler"
Kırtasiyeden kalem ve armut alabilir miyim?,2,"""Kırtasiye kalemi"" veya ""elma armut"" gibi malzemeler genellikle okul öncesi eğitim için uygunken, bazı durumlarda özel ihtiyaçlar da olabilir. İşte farklı seçenekler:

---

### **1. Okul Öncesi Eğitim İçin Uygunluk**  
- **Özel Gereksinimler** (okula başlama/bırakma vb.) için uygundurlar:  
    - Kalem, silgi veya makas gibi kırtasiye malzemeleri, çocukların akademik becerilerini destekler (örneğin, ""kalem tutmama becerisi"").  
    - Ayrıca, **oyun hamuru** veya **boyama kalemleri** de kullanılabilir.  
    Örnekler:  
|------------------|--------------|--------------------|
| **Okul Öncesi İhtiyaç** (0-6 yaş)   | **Kalem**   |  
|| **Oyun Hamuru** |   | Renkli boyalar →   |
|| *Not:** Bu tür malzemeler, çocuğun motor becerilerinin gelişmesine yardımcı olur.  

---  
#### **"
Bir evde kanguru bulunabilir mi?,1,"""Kangurunun evde olması, bir evin temel ihtiyaçları için gerekli olduğu anlamına gelmez. Kangurular, genellikle ev ortamında yaşayan hayvanlardır; ancak bazı durumlarda ev içinde beslenebilirler. Bu tür hayvanlar, evde beslenen hayvanlara göre daha küçüktür ve daha az bakım gerektirir. Ancak bu durum, kangurun evde yaşadığı anlamına gelmez."" 
Evcil hayvan kategorisinde olsalar da, kangal köpekleri gibi bazı kangalların evlerde beslenmesi gerekebilir. 
Sonuç olarak, kangurular, evde beslenebilen evcil hayvanlardır ve ev koşullarında bakılmaları gerekir. ""Evde bakılan bir kangalın, evde besleniyormuş gibi görünmesi doğru değildir."" 🐦🔥 
(*Not: Evcil hayvan kategorisindeki kangallar, evcil hayvan kategorisine girmez!!) 😊 
**Özet:** Evde beslenen kangal türleri, evde bakılabilen türlerdir. Ancak evde beslemek için özel yetiştirilmiş köpekler de olabilir.  ""Bu, yanlış bilgidir!""  ✨💡"
Mühendislik mesleği ne işe yarar?,2,"""Mühendislik"" kelimesi, Latince ""mühendis"" (marie) ve ""endüsriyel"" (endüstriyel) kelimelerinden oluşur. Mühendisler, belirli bir amaca yönelik olarak çeşitli mühendislik yöntemlerini kullanarak projeler tasarlar veya geliştirir; bu nedenle mühendislik, bilim ve teknolojinin birleşimidir. Mühendislik aynı zamanda mühendislik eğitimi almış teknikerlere de verilen isimdir. Mühendislik, insan hayatını kolaylaştıran, ekonomik değere sahip, teknolojik ilerlemeyi sağlayan ve sosyal refahı artıran kritik bir meslektir. ""Mimarlık"" ise mimarlığın temel ilkelerini içeren bir disiplindir. Mimarların en önemli görevi, yapı malzemelerini üretmek, tasarlamak ve denetlemektir. Ayrıca mühendislerin görevleri arasında, inşaat mühendisliği, elektrik mühendisliği, mekanik mühendisliği, bilgisayar mühendisliği gibi mühendislik dalları da bulunur. Bu yüzden mühendislik, her iki disiplini de kapsayan karmaşık bir kavramdır. 
Özetle, mühendislik, insanların günlük yaşamını kolaylaştırmak için teknolojiden yararlanır; mühendislik, bilimsel araştırma ve yenilikçiliği teşvik eder; mühendislik ayrıca toplumsal kalkınmayı destekler ve bireylerin refahını artırır"
Kapı ne gibi durumlar için kullanılır?,2,"""Kapılar, ev veya ofislerin güvenlik ve koruma ihtiyaçlarını karşılamak için tasarlanmıştır. Bu nedenle, kapının işlevselliği ve işlevleri arasında bir denge vardır. Örneğin, kapıların kilit mekanizması (kilitleme sistemi) güvenliği sağlar, ancak diğer işlevler (güvenlik sistemleri) ile de entegre çalışır. Örneğin kapılar, elektrik kesilmelerinde acil çıkış sağlamak için kullanılır; bu da acil durum planlarını kolaylaştırır."" 
Ancak kapıların kullanım amacı, kullanım amacına göre değişir. Örneğin ""kapılar, acil durumlarda insanların dışarı çıkmasını kolaylaştırmak için tasarlanmışsa"" veya ""kapının fiziksel özellikleri, acil durumda insanları güvenli bir şekilde dışarı çıkarmak için tasarlandıysa"" bu kullanım amacı değişebilir. Ayrıca, kapının işlevi sadece güvenlik değil aynı zamanda mahremiyet de içerir. Dolayısıyla, kapının kullanım amacının değişmesi, kullanıcıların güvenliğini daha iyi korumasını sağlayabilir. 
Sonuç olarak, kapının kullanımı, işlevine ve kullanım amacına bağlıdır. İşlevsel açıdan bakıldığında, kapı hem güvenlik hem de mahremiyeti korumak için kullanılabilir. Ancak, kullanım amacı ve kullanılan malzemenin"
Koltukla sandalye arasında ne gibi farklar vardır?,2,"""Koltuk"" ile ""Sandalye"" arasındaki temel farklar:

1. İşlevsellik ve Estetik Farklar
- Koltuk, insan vücudunun doğal hareketlerini kısıtlamaz (örneğin, sırt üstü yatmak).
- Sandalye ise daha rahat bir hareket alanı sunar (özellikle uzun yolculuklarda).
2. Tasarım ve Kullanım Kolaylığı
- Her ikisi de modern ve işlevsel tasarımlara sahiptir; her ikisi de kullanıcıya rahatlık sağlar.
- Oturma şekli ve şekli kişisel tercihlere göre değiştirilebilir.
3. Konfor ve Ergonomi
- İkisi de farklı ihtiyaçlara hitap eder; koltuk yumuşak, sandalye serttir.
4. Malzeme Kalitesi
- Ahşap/deri malzeme, hem estetik hem de dayanıklılık katar.
5. Bakım ve Temizlik
- Sandalyeler zamanla eskir veya kirlenirse, temizlenebilir veya yıkanabilir.
6. Güvenlik ve Koruma
- Bu ürünler, olası kazaları önlemek için özel güvenlik önlemleriyle donatılmıştır.
7. Üretim ve Teslimat
- Tüm sandalyeler uluslararası standartlara uygun olarak"
Fatih Sultan Mehmed kimdir?,2,"""Fatih Sultan Mehmed"", Osmanlı İmparatorluğu'nun kurucusu ve ilk padişahıdır. Fatih Sultan Mehmet (1451-1512), Türk siyasi tarihinde en büyük askeri komutanlardan biridir ve İstanbul'u fethetmesiyle birlikte dünya tarihinde önemli bir dönüm noktası olmuştur.

Osmanlı Devleti'nin en uzun süre tahtta kalan hükümdarıdır.
İstanbul'un fethinden önce Doğu Roma'nın elinde olan toprakları geri aldı.
Haçlı Seferleri sırasında Bizans İmparatoru I. Manuel Komnenos ile çatıştı.
Fetihten sonra İstanbul'a döndü ve ölümüne kadar burada yaşadı.
Asıl adı Mustafa'dır, ancak kaynaklarda ""Mehmed"" şeklinde geçer.
Ailesi, dedesi Fatih Sultan Muhammed'in (1362-1481) yanında büyüdü; annesi ise Hatice Turhan Sultan'dır.
İlk olarak 1444'te Edirne'deki Yeşilköy'ü (bugünkü ismiyle Ayastefanos) fethederek burayı Osmanlı topraklarına kattı.
1446 yılında, Bizanslılarla yaptığı"
Şelale ne yöne doğru akar?,1,"""Şelale"" kelimesi, genellikle bir nehir veya göl gibi akan su kütlelerini tanımlamak için kullanılır. Bu tanımlamanın arkasındaki temel mantık, her akıntının belirli bir yönde (örneğin; bir nehir) hareket etmesidir. İşte şelale tanımı:

1. **Yersel Hareketler**  
   - Bir akarsu veya gölün akış yönü, genellikle belirli bir doğrultuda ilerler. Örneğin, bir nehirde akış yönü (yani kollar ve ayaklar), suyun akışına göre belirlenir.  
2. **Akış Türlerine Göre**  
     - Akarsularda akış, **hidrolojik**, **jeolojik** veya **nehirsel** olabilir. Bu tür hareketler, akarsuyun akış yönünün belirlenmesini sağlar.  
     *Not:** Akış türleri arasında en yaygın olanları:  
     1. **Hidroelektrik**  
    - Suyun yüksek basınçla yüzeye çıkması (hidrolik akarsu), hidroelektrik santralleri (barajlar) ile elektrik üretilir.  
    2. **Su"
Hitler kötü mü yoksa iyi mi bir insan?,2,"""İyi"" Bir İnsan, Kötü Bir İse Neden?

---

### **1. Nazizm ve Kötülük Arasında Karşılaştırma**  
- Hitler'in Nazizme Karşı Tutumu:  
  - **Hitler'in** **Nazizim'i**, **Avrupa'da** totaliter rejimlerin kurulmasını teşvik etmiş, **Almanya'daki** Nazilere **diktatörlük** uygulamıştır.  
  **Nazi Almanyası'nın** ""iyi"" olduğu iddiası, **Almanların** ırkçı ve hoşgörüsüz tutumuyla çelişir (örneğin, Nasyonal Sosyalizmin **nasyonal sosyalizmi** gibi kavramlar, Nazilerin kötü olduğunu göstermez).  

- **Kötü Niyet:**  
  Hitler'e göre, **düşmanlarına** karşı **acımasız** davranmak, **güçlü bir motivasyondur**; bu da **zayıf bir kişilik** ve **korku dolu bir psikoloji** yaratır.  

---  
####"
Pasinler savaşı hangi devletler arasında oldu?,2,"""Pasinler Savaşı'nın Nedenleri ve Sonuçları:
1. **Ermeni Sorunu**: Osmanlı Devleti ile Ermeniler arasındaki çatışmalar, Türk-Rus savaşındaki Kars Antlaşması'na (1915) kadar sürdü. Ancak, 1878 Berlin Anlaşması'yla Rusya'ya bırakıldı.
2. **Milli Mücadele Dönemi**: I. Dünya Savaşı'nda (Çanakkale) Ruslarla savaşan Anadolu'daki ilk Kuvayımilliye hareketidir.
3. **Sovyet Tehdidi**: Sovyetlerin baskısı nedeniyle 1915'te yapılan Erzincan Kongresi'nde (6 Şubat 1921) ""Manda"" kararı alındı.
4. **Ekonomik ve Sosyal Etkiler**: Ruslar, Doğu Anadolu'da ticaret merkezleri olan Erzurum ve Bitlis gibi şehirleri ele geçirince, bölgede yaşayan Ermenileri zorunlu göçe zorladı.
5. **Sömürgecilik ve Dış Politikadaki Etkileri**: Ermeni meselesi, II. Dünya Savaşından sonra Türkiye'nin dış politikası için büyük bir sorun haline geldi.
6"
Celâleddin Harezmşah ile Cengiz arasında bir bağlantı var mı?,2,"""Celâleddîn-i Harezmî"" veya ""Cengiz Han"", Moğolistan'ın doğusunda yer alan Harzem bölgesinde yaşayan bir Türk bilgini ve devlet adamıdır. Bu isim, Harizmşahlar Devleti'nin kurucusu olan Cengiz Han'a (MÖ 1620 – MS 1502) atfedilir. Ayrıca, Cengiz Han gibi bir yöneticiye atfedilen başka isimler de vardır: Cengiz Han, Timur, Hülagü, Cuci, Çağatay gibi. Ancak bu durum, Cengiz'in Harezmlilerin bir üyesi olduğu gerçeğini değiştirmez. ""Celaleddin Harezmi"" veya Cengiz Han diye bilinen kişi, Moğol İmparatorluğu'nun en önemli bilim insanlarından biri olarak kabul edilir ve Orta Asya'daki kültürel etkileşimin temellerini atmıştır. Dolayısıyla, Cengiz tarafından verilen ""celal"" unvanının da bir bağlantısı yoktur; çünkü Cengiz, Orta Asya'nın fethinden önce de Anadolu'da bir Türkmen boyu olan Cendoğullarını yönetmiştir.
Bu durum"
Çağrı Bey ile Tuğrul Bey'in akrabalık bağları hakkında ne söyleyebilirsin?,2,"""Çağrı Bey ve Tuğrul Bey"" akrabadır, ancak aynı zamanda kardeştir. Bu iki kişi, Türk-İslam devletlerinde siyasi ve kültürel bir köprü kurarak, İslam dünyasına önemli katkılarda bulunmuştur. İşte detaylı bağlantı:

---

### **1. Kardeşlik Bağları**  
|----------------------|----------------------------|------------------------------------|   |-----------------------|------------------|  
- **Türkmenler (Selçuklu)** (1071'den itibaren Anadolu'ya göç etmiş Türkmenler).  
-- **Kıpçaklar (Moğolistan'dan gelen göçebe topluluklar).   |------- |--------------------------|     |-----------------------------------------|              |  

---  
\[
\boxed{10}{11} = \frac{3}{4}} \times 2 \text{2}{5} = 10 \text {6}{7}{8} \]"
Yumurta mı tavuktan çıkar yoksa tavuk mu yumurtadan çıkar?,3,"""Yumurta mı tavuktadan çıkar, tavuk mu yumurtadan?"" tartışması, aslında yumurtanın tavuktan çıkıp çıkmadığını değil, yumurtanın hangi hayvandan çıktığını tartışan bir tartışma. İşte bu tartışmanın temel nedenleri:

### 1. **Hayvanlardan Kaynaklanan Sebepler**
- **Üreme ve Beslenme**: Tavuklar (özellikle de kazlar) yumurta üretirken bazı özel adaptasyonlar kullanır; bunlar:
    - Bazı kuşlar yumurtayı sadece kanat çırparak ya da su içerek yakalar. Örneğin, kuşlar yumurtalarını genellikle bir çiftlikte veya bir havuzda açar.
    – Yumurtalar genellikle yavrularını beslemek için kullanılır; bu nedenle tavukların yumurtlaması söz konusu değildir.
   - Ancak bazı kuş türleri (örneğin akbaba gibi), yumurtaları kanat çırpmak yerine yumurtlayarak yavrularına dağıtır. Bu tür yumurtalar, kuşların yumurtlama davranışının sonucudur.

2. **Doğal Seçilim**
Yumurtanın Tavuktan Çıkması Mümkün Değildir!
Kuşların yumurtlamaması,"
Lens ile gözlük arasındaki farkları söyler misin?,2,"""Lens"" ve ""Gözlük"" Arasındaki Farklar
1. **Malzeme:**  
- Renkli lensler (örneğin, renkli UV filtreler), UV ışınları geçirmediği için renk tonunu eşitler.  
2. **Kullanım Alanları:**  
   - Güneş gözlüğü, spor gözlüğü, bilgisayar gözlüğü.   - Gözlüğü çıkarıp takmak kolaydır.   *Not: Her ikisi de güneş koruması sağlar!* 🌱
3. **Fiyatlandırma:** 
   - **En ucuzu** (50 TL) (renk yelpazesi geniş):
   - Renkli lensler: $300-400, renkli lensler daha pahalı.   ⚽️🔍 
4. **Sağlık Riskleri:**   
- Göze temas eder, göz sağlığını olumsuz etkiler.   
5. **Ergonomik Yapı:**      
❌ 🎧 **Miyop, astigmat gibi kırma kusurları olanlar için idealdir."
Fare ne yer?,1,"""Fare"" kelimesi, genellikle bir kemirgen türü veya memeli olarak tanımlanır. Bu tür canlılar, küçük ve çok çevik hayvanlardır. İşte fare türleri:  

### **1. Fare Türleri**  
- **Megalomanyaklar (Memeliler):**  
  - Kanatlılar, balıklar ve böceklerle beslenirler.  
  – Bazı türler, geceleri aktiftir (ör: **Galeon sıçanı*).  
  *Not: Bu hayvanlar, zehirlidir!*)  

---

#### **2. Memelilerin Özellikleri**  	| Tür | Tür (Tür)       | Cinsiyet                | Boy                      | Ağırlık                    | Yaşam Alanı                   | ❌️**  

✅ **Genel Özellikler:**   Her canlı gibi fare de **sürünerek hareket eder**; çünkü **parmaklarıyla** avını yakalar.  

🔍 **Ek Bilgi:** Bu canlılar, **fizy"
Zehirli bir yılan insanı sokarsa ne olur?,2,"""Zehirli Yılan Sokması"" ve Risk Faktörleri:
1. **Biyolojik Etkenler**:  
   - **Parazit** (zararlı) ısırıkları, zehirlenmeyi tetikleyebilir.  
   *Örnek:* Bazı zehirli yılanlar, zehri enjekte ederek insanı zehirleyebiliyor.  

2. **Psikolojik Etkiler**: 
   - Korku ve kaygı bozuklukları.  
     - Aşırı endişe veya panik atak.  
    *Örnekler:* ""Yılandan korkmuyorum ama ondan kaçıyorum!"" gibi düşünceler.  
        - Fiziksel belirtiler: · Zıplama (özellikle sırtüstü pozisyonda), · Mide bulantısı, · Baş ağrısı (örneğin, baş dönmesi).  

3. **Toksik Reaksiyonlar**:    
     - **Solunum Yolu Enfeksiyonları** (akciğerde sıvı birikimi), · Anafilaksi (ani ölüm riski).  
      * Örnek:* Bir yılan ısırığı nedeniyle nefes almakta güçlük çekenler.  
         \"
Şifresi çok zor kırılan bir odaya girmek için ne yapmalıyım?,3,"""Şifreniz çok zor kırılıyorsa, o odayı güvenli ve gizli bir yere açın. Bu odada kilitli dolaplar veya kilitli kapılar vardır; anahtarları alın, kapıyı kilitleyin. Bir not defteri veya not kağıdı ile güvenlik anahtarını kontrol edin.""

Önemli Not: ""Bu oda kilitli değildir!"" diye düşünmeyin, kilitli dolaplarda veya kilitli kapılarda olabilir. ""Güvendeyim"" demek yerine ""Güvenli değilim!"" deyin. 
*Not: Bazı insanlar bu tekniği ""challenge"" olarak kullanır, ancak bu yöntem güvenlidir! *🔥⚖️✨ ""Challenge'ı bırakın! Güvenli bir yer seçin!"" 
(Kelime: 100) 
**Bonus:  
- Odayı kilitlemek için anahtarı alın, kilitleri kapatın. (Anahtarlar ""güvenli"" olsa bile).  
– Oda kilitli değilse (veya güvensizse) kilitli dolaplardan birine gidin.  

*Özet: Güvende olduğunuzu göstermek için"
